,sub_cluster,words,cluster
115,Land Animals (General),penguin,(Super cluster 10: Animals)
116,Land Animals (General),yak,(Super cluster 10: Animals)
117,Land Animals (General),panda,(Super cluster 10: Animals)
118,Insects,ant,(Super cluster 10: Animals)
119,Insects,bee,(Super cluster 10: Animals)
120,Insects,bug,(Super cluster 10: Animals)
121,Insects,butterfly,(Super cluster 10: Animals)
122,Insects,caterpillar,(Super cluster 10: Animals)
123,Insects,fly,(Super cluster 10: Animals)
124,Insects,insect,(Super cluster 10: Animals)
125,Insects,ladybug,(Super cluster 10: Animals)
126,Insects,spider,(Super cluster 10: Animals)
127,Insects,worm,(Super cluster 10: Animals)
128,Insects,bumblebee,(Super cluster 10: Animals)
129,Insects,cockroach,(Super cluster 10: Animals)
130,Insects,flea,(Super cluster 10: Animals)
131,Insects,grasshopper,(Super cluster 10: Animals)
132,Insects,mosquito,(Super cluster 10: Animals)
133,Insects,moth,(Super cluster 10: Animals)
134,Insects,slug,(Super cluster 10: Animals)
135,Insects,wasp,(Super cluster 10: Animals)
136,Insects,beetle,(Super cluster 10: Animals)
137,Insects,crab,(Super cluster 10: Animals)
138,Insects,cricket,(Super cluster 10: Animals)
139,Insects,lizard,(Super cluster 10: Animals)
140,Equipment Used with Animals,collar,(Super cluster 10: Animals)
141,Equipment Used with Animals,horseshoe,(Super cluster 10: Animals)
142,Equipment Used with Animals,leash,(Super cluster 10: Animals)
143,Equipment Used with Animals,saddle,(Super cluster 10: Animals)
144,Right and Wrong,correct,(Super cluster 11: Importance and Goodness)
145,Right and Wrong,just,(Super cluster 11: Importance and Goodness)
146,Right and Wrong,real,(Super cluster 11: Importance and Goodness)
147,Right and Wrong,right,(Super cluster 11: Importance and Goodness)
148,Right and Wrong,TRUE,(Super cluster 11: Importance and Goodness)
149,Right and Wrong,truth,(Super cluster 11: Importance and Goodness)
150,Right and Wrong,wrong,(Super cluster 11: Importance and Goodness)
151,Right and Wrong,error,(Super cluster 11: Importance and Goodness)
152,Right and Wrong,fair,(Super cluster 11: Importance and Goodness)
153,Right and Wrong,FALSE,(Super cluster 11: Importance and Goodness)
154,Right and Wrong,fault,(Super cluster 11: Importance and Goodness)
155,Right and Wrong,honest,(Super cluster 11: Importance and Goodness)
156,Right and Wrong,mistake,(Super cluster 11: Importance and Goodness)
157,Lack of Value,bad,(Super cluster 11: Importance and Goodness)
158,Lack of Value,awful,(Super cluster 11: Importance and Goodness)
159,Lack of Value,evil,(Super cluster 11: Importance and Goodness)
160,Lack of Value,terrible,(Super cluster 11: Importance and Goodness)
161,Lack of Value,wicked,(Super cluster 11: Importance and Goodness)
162,Lack of Value,worse,(Super cluster 11: Importance and Goodness)
163,Lack of Value,worst,(Super cluster 11: Importance and Goodness)
164,Failure and Success,fail,(Super cluster 11: Importance and Goodness)
165,Failure and Success,succeed,(Super cluster 11: Importance and Goodness)
166,Importance and Value,best,(Super cluster 11: Importance and Goodness)
167,Importance and Value,better,(Super cluster 11: Importance and Goodness)
168,Importance and Value,dear,(Super cluster 11: Importance and Goodness)
169,Importance and Value,fine,(Super cluster 11: Importance and Goodness)
170,Importance and Value,good,(Super cluster 11: Importance and Goodness)
171,Importance and Value,important,(Super cluster 11: Importance and Goodness)
172,Importance and Value,perfect,(Super cluster 11: Importance and Goodness)
,,wonderful,
173,Importance and Value,outstanding,(Super cluster 11: Importance and Goodness)
174,Importance and Value,super,(Super cluster 11: Importance and Goodness)
175,Importance and Value,useful,(Super cluster 11: Importance and Goodness)
176,Throat and Mouth,mouth,(Super cluster 12: The Human Body)
177,Throat and Mouth,teeth,(Super cluster 12: The Human Body)
178,Throat and Mouth,throat,(Super cluster 12: The Human Body)
179,Throat and Mouth,tooth,(Super cluster 12: The Human Body)
